Point,AFTDIA,AFTBF,*FWDDIA,*FWDBF
462,0.0057,-0.0001,0.0027,0.0003
463,0.0057,-0.0001,0.0027,0.0004
464,0.0057,-0.0001,0.0026,0.0004
465,0.0057,-0.0001,0.0026,0.0004
466,0.0057,-0.0001,0.0026,0.0004
467,0.0057,-0.0001,0.0025,0.0004
468,0.0057,-0.0001,0.0025,0.0004
469,0.0057,-0.0001,0.0024,0.0004
470,0.0057,-0.0001,0.0024,0.0004
471,0.0057,-0.0001,0.0024,0.0004
472,0.0057,-0.0001,0.0023,0.0004
473,0.0057,-0.0001,0.0023,0.0004
474,0.0057,-0.0001,0.0023,0.0005
475,0.0057,-0.0001,0.0022,0.0005
476,0.0057,0.0000,0.0022,0.0005
477,0.0057,0.0000,0.0022,0.0005
478,0.0057,0.0000,0.0021,0.0005
479,0.0057,0.0000,0.0021,0.0005
480,0.0057,0.0000,0.0021,0.0005
481,0.0057,0.0000,0.0020,0.0005
482,0.0057,0.0000,0.0020,0.0005
483,0.0057,0.0000,0.0020,0.0005
484,0.0057,0.0000,0.0020,0.0005
485,0.0057,0.0000,0.0019,0.0005
486,0.0057,0.0000,0.0019,0.0006
487,0.0057,0.0000,0.0019,0.0006
488,0.0057,0.0000,0.0019,0.0006
489,0.0057,0.0000,0.0019,0.0006
490,0.0057,0.0000,0.0018,0.0006
491,0.0057,0.0000,0.0018,0.0006
492,0.0057,0.0000,0.0018,0.0006
493,0.0057,0.0000,0.0018,0.0006
494,0.0057,0.0000,0.0017,0.0006
495,0.0057,0.0000,0.0017,0.0006
496,0.0057,0.0000,0.0017,0.0006
497,0.0056,0.0000,0.0017,0.0007
498,0.0056,0.0000,0.0016,0.0007
499,0.0056,0.0000,0.0016,0.0007
500,0.0056,0.0000,0.0016,0.0007
501,0.0056,0.0000,0.0016,0.0007
502,0.0056,0.0000,0.0015,0.0007
503,0.0056,0.0000,0.0015,0.0007
504,0.0056,0.0000,0.0015,0.0007
505,0.0056,0.0000,0.0014,0.0007
506,0.0056,0.0000,0.0014,0.0007
507,0.0056,0.0000,0.0014,0.0007
508,0.0056,0.0000,0.0013,0.0007
509,0.0056,0.0000,0.0013,0.0007
510,0.0056,0.0000,0.0012,0.0008
511,0.0056,0.0000,0.0012,0.0008
512,0.0056,0.0000,0.0012,0.0008
513,0.0056,0.0000,0.0011,0.0008
514,0.0056,0.0000,0.0011,0.0008
515,0.0056,0.0000,0.0010,0.0008
516,0.0056,0.0000,0.0010,0.0008
517,0.0056,0.0000,0.0009,0.0008
518,0.0056,0.0000,0.0009,0.0008
519,0.0056,0.0000,0.0009,0.0008
520,0.0056,0.0000,0.0008,0.0008
521,0.0056,0.0000,0.0008,0.0008
522,0.0056,0.0000,0.0007,0.0008
523,0.0055,0.0000,0.0007,0.0008
524,0.0055,0.0000,0.0007,0.0008
525,0.0055,0.0000,0.0006,0.0008
526,0.0055,0.0000,0.0006,0.0009
527,0.0055,0.0000,0.0006,0.0009
528,0.0055,0.0000,0.0005,0.0009
529,0.0055,0.0000,0.0005,0.0009
530,0.0055,-0.0001,0.0005,0.0009
531,0.0055,-0.0001,0.0004,0.0009
532,0.0055,-0.0001,0.0004,0.0009
533,0.0055,-0.0001,0.0004,0.0009
534,0.0055,-0.0001,0.0004,0.0009
535,0.0055,-0.0001,0.0004,0.0009
